Box Name,Item,Quantity,Freezer Name,Rack Number,Box Number,Notes
"Antibiotics (Puromycin, Kanamycin, Carboxycillin)",Carboxycillin 1000x Aliquot ,9,Pig 150,7,1,
"Antibiotics (Puromycin, Kanamycin, Carboxycillin)",Kanamycin 50mg/mL Aliquot ,5,Pig 150,7,1,
"Antibiotics (Puromycin, Kanamycin, Carboxycillin)",Puromycin 1mg/mL Aliquot ,27,Pig 150,7,1,
Primers 244-324 Stocks,Primers 244-324,1,Pig 150,5,4,
Primers 163-243 Stocks,Primers 163-243,1,Pig 150,5,3,
Primers 325-405 Stocks,Primers 325-405,1,Pig 150,5,5,
Primers 406-486 Stocks,Primers 406-486,1,Pig 150,5,6,
Antibiotics (Hygromycin & Tetracycline),Hygromycin-B 50mg/mL Aliquot ,25,Pig 150,7,2,
Antibiotics (Hygromycin & Tetracycline),Tetracycline 10mg/mL Aliquot ,6,Pig 150,7,2,
Antibiotics (Hygromycin & Tetracycline),Thiamine 2mg/mL Aliquot ,2,Pig 150,7,2,
Primers 01-081 Stocks,Primers 01-081,1,Pig 150,1,1,Reoder: Primer 60; Primer 61
Primers 082-162 Stocks,Primers 082-162,1,Pig 150,1,2,
Xgal & IPTG Aliquots (Blue-White Screenings),IPTG,31,Pig 150,7,3,
